Distrito;Nome;display_name;quantidade;soma;media;desvpad popul;desvpad_amostral;QTLINBUS2018;KMLINBUS2018;QTPONTBUS2018;QTESTMETRO2018;RENDP2010;ARE1;POP2018;DENPOP2018;DOMP2018;ESTAB2016;EMP2016;PNBRAN2010;TEMP2010_5MIN;TEMP2010_30MIN;TEMP2010_60MIN;TEMP2010_120MIN;TEMP2010_121MIN;TEMP2010_0MIN;PDOMC2010;PDOMM2010
355030879;Socorro;UberX;9281;2038320;219;96,99319676;97,00364861;114;337,323;94;0;1867,74;11,65;36356;3120,686695;12469;1861;33484;0,216684752;0,03;0,15;0,14;0,09;0,02;0,58;0,108735494;0,715070742
355030880;Tatuapé;UberX;6081;1057260;173;71,76832579;71,78012979;172;464,71;176;2;2158,82;8,43;95364;11312,45552;35620;5985;72574;0,111168077;0,02;0,12;0,13;0,06;0,01;0,66;0,08180692;0,726796259
355030881;Tremembé;UberX;41200;20587560;499;245,571863;245,5778236;82;420,473;344;0;720,45;57,48;218574;3802,609603;67925;1479;21706;0,39827156;0,01;0,07;0,13;0,1;0,02;0,67;0,106882033;0,457435717
355030882;Tucuruvi;UberX;6937;1386720;199;89,58245151;89,59536709;101;334,993;184;2;1278,74;9,44;96856;10260,16949;33681;2327;22432;0,193259342;0,01;0,1;0,12;0,08;0,01;0,68;0,081431074;0,635144256
355030883;Vila Andrade;UberX;7197;1639560;227;108,3023165;108,3173668;86;247,461;128;1;1959,59;10,31;156904;15218,6227;56037;2162;28052;0,414683305;0,01;0,1;0,15;0,07;0,01;0,65;0,11588941;0,540071479
355030884;Vila Curuçá;UberX;7202;1452960;201;87,58959856;87,60176209;108;347,931;263;0;503,43;9,5;152431;16045,36842;48689;1111;9179;0,512643154;0,02;0,07;0,08;0,12;0,03;0,68;0,070114342;0,405207713
355030885;Vila Formosa;UberX;5523;1064520;192;79,5965092;79,61092363;76;279,62;184;0;1259,87;7,46;94307;12641,68901;31955;2752;32857;0,204611863;0,02;0,11;0,11;0,07;0,01;0,69;0,084999315;0,618632024
355030886;Vila Guilherme;UberX;5322;1002900;188;80,7249634;80,74013441;83;189,654;160;0;1212,16;7,24;56611;7819,198895;19118;2274;45838;0,222046346;0,02;0,13;0,12;0,06;0,01;0,66;0,087802806;0,625508372
355030887;Vila Jacuí;UberX;6304;1245120;197;84,07849904;84,09183848;119;327,04;176;0;537,57;7,84;145045;18500,63776;47363;1112;10903;0,490537408;0,02;0,08;0,1;0,1;0,02;0,68;0,080243486;0,435595289
355030888;Vila Leopoldina;UberX;5073;1059600;208;114,3385126;114,3610557;59;215,999;89;0;2942,63;6,97;44199;6341,319943;16189;3147;61538;0,145178077;0,02;0,16;0,17;0,03;0;0,61;0,086612675;0,708038166
355030889;Vila Maria;UberX;8673;1734300;199;82,20330767;82,21278683;58;323,537;233;0;821,8;11,81;113835;9638,865368;37509;3708;50704;0,343184203;0,03;0,12;0,11;0,04;0,01;0,7;0,076992716;0,457995645
355030890;Vila Mariana;UberX;6156;1108020;179;78,78091554;78,79371504;184;446,252;251;7;3757,39;8,51;132016;15513,04348;55524;8385;157992;0,087789306;0,02;0,15;0,14;0,03;0;0,65;0,069012689;0,746577513
355030891;Vila Matilde;UberX;6733;1179600;175;70,77289069;70,7834036;60;196,131;232;4;985,87;8,9;105522;11856,40449;35598;2068;25967;0,25470952;0,02;0,1;0,13;0,09;0,01;0,65;0,081539488;0,589042142
355030892;Vila Medeiros;UberX;5915;1133160;191;79,69261147;79,70608672;64;262,723;205;0;723,93;7,82;124500;15920,71611;40188;1768;17023;0,342029856;0,02;0,11;0,12;0,07;0,01;0,67;0,100574379;0,505949705
355030893;Vila Prudente;UberX;7038;1404240;199;84,0925314;84,10448145;103;413,491;219;2;1188,42;9,5;104649;11015,68421;36792;2619;28670;0,189942151;0,02;0,13;0,12;0,05;0,01;0,67;0,076383955;0,606790949
355030894;Vila Sônia;UberX;7764;1693560;218;97,30159216;97,31412618;76;236,88;156;0;1759,48;10,02;119354;11911,57685;40368;2530;34946;0,279994834;0,02;0,11;0,15;0,09;0,01;0,62;0,100101553;0,669254314
